Y,M,D,Q
2001,11,27,22.79589309
2001,11,28,22.17289974
2001,11,29,25.37282014
2001,11,30,24.32505859
2001,12,1,22.68262157
2001,12,2,25.40113802
2001,12,3,24.32505859
2001,12,4,24.41001223
2001,12,5,23.81533676
2001,12,6,23.36225068
2001,12,7,25.08964134
2001,12,8,24.55160163
2001,12,9,22.59766793
2001,12,10,21.60654215
2001,12,11,22.48439641
2001,12,12,24.15515131
2001,12,13,22.39944278
2001,12,14,24.66487315
2001,12,15,23.30561492
2001,12,16,22.42776066
2001,12,17,24.80646254
2001,12,18,24.80646254
2001,12,19,24.80646254
2001,12,20,24.80646254
2001,12,21,22.54103217
2001,12,22,24.97636982
2001,12,23,22.48439641
2001,12,24,19.82251573
2001,12,25,19.14288662
2001,12,26,21.12513819
2001,12,27,22.14458186
2001,12,28,24.21178707
2001,12,29,24.83478042
2001,12,30,23.98524403
2001,12,31,23.9002904
2002,1,1,21.97467458
2002,1,2,21.46495275
2002,1,3,25.59936317
2002,1,4,23.84365464
2002,1,5,24.35337647
2002,1,6,22.31448914
2002,1,7,25.11795922
2002,1,8,24.46664799
2002,1,9,22.88084673
2002,1,10,23.73038312
2002,1,11,23.81533676
2002,1,12,23.758701
2002,1,13,21.91803882
2002,1,14,23.24897916
2002,1,15,22.54103217
2002,1,16,22.34280702
2002,1,17,22.31448914
2002,1,18,23.53215796
2002,1,19,21.43663487
2002,1,20,21.01186667
2002,1,21,22.68262157
2002,1,22,22.11626398
2002,1,23,23.53215796
2002,1,24,22.3711249
2002,1,25,21.09682031
2002,1,26,24.01356191
2002,1,27,23.30561492
2002,1,28,21.83308518
2002,1,29,22.34252384
2002,1,30,20.44550908
2002,1,31,19.56765481
2002,2,1,22.88084673
2002,2,2,22.51271429
2002,2,3,22.51271429
2002,2,4,21.63486003
2002,2,5,20.38887332
2002,2,6,21.35168123
2002,2,7,21.18177395
2002,2,8,23.44720432
2002,2,9,21.91803882
2002,2,10,20.53046272
2002,2,11,21.86140306
2002,2,12,22.28617126
2002,2,13,20.95523092
2002,2,14,20.5587806
2002,2,15,20.95523092
2002,2,16,21.04018455
2002,2,17,23.6171116
2002,2,18,22.11626398
2002,2,19,22.79589309
2002,2,20,22.88084673
2002,2,21,22.90916461
2002,2,22,22.62598581
2002,2,23,22.56935005
2002,2,24,22.54103217
2002,2,25,19.08625086
2002,2,26,17.58540324
2002,2,27,22.31448914
2002,2,28,24.55160163
2002,3,1,19.22784026
2002,3,2,20.38887332
2002,3,3,20.92691304
2002,3,4,22.00299246
2002,3,5,23.05075401
2002,3,6,22.85252885
2002,3,7,24.35337647
2002,3,8,21.06850243
2002,3,9,22.71093945
2002,3,10,20.95523092
2002,3,11,23.02243613
2002,3,12,22.48439641
2002,3,13,22.05962822
2002,3,14,21.97467458
2002,3,15,21.86140306
2002,3,16,20.81364152
2002,3,17,22.65430369
2002,3,18,20.61541636
2002,3,19,21.63486003
2002,3,20,21.66317791
2002,3,21,21.69149579
2002,3,22,21.83308518
2002,3,23,21.83308518
2002,3,24,23.39056856
2002,3,25,22.85252885
2002,3,26,22.51271429
2002,3,27,22.54103217
2002,3,28,22.56935005
2002,3,29,22.51271429
2002,3,30,22.51271429
2002,3,31,24.57991951
2002,4,1,24.41001223
2002,4,2,24.60823739
2002,4,3,24.66487315
2002,4,4,24.38169435
2002,4,5,25.62768105
2002,4,6,28.60105841
2002,4,7,29.167416
2002,4,8,30.58330998
2002,4,9,30.01695239
2002,4,10,30.30013119
2002,4,11,35.68052832
2002,4,12,32.28238276
2002,4,13,31.99920397
2002,4,14,38.22913748
2002,4,15,49.27311053
2002,4,16,42.75999822
2002,4,17,37.66277989
2002,4,18,33.98145554
2002,4,19,33.41509795
2002,4,20,31.71602517
2002,4,21,29.167416
2002,4,22,30.86648878
2002,4,23,34.83099193
2002,4,24,39.36185267
2002,4,25,39.64503146
2002,4,26,45.30860739
2002,4,27,49.55628933
2002,4,28,53.80397127
2002,4,29,52.95443488
2002,4,30,59.1843684
2002,5,1,60.31708358
2002,5,2,59.46754719
2002,5,3,60.60026238
2002,5,4,65.41430191
2002,5,5,64.84794432
2002,5,6,63.14887154
2002,5,7,61.44979877
2002,5,8,61.16661997
2002,5,9,59.1843684
2002,5,10,56.91893803
2002,5,11,56.63575923
2002,5,12,58.6180108
2002,5,13,58.9011896
2002,5,14,62.58251395
2002,5,15,60.60026238
2002,5,16,59.46754719
2002,5,17,59.46754719
2002,5,18,56.06940164
2002,5,19,58.05165321
2002,5,20,56.35258044
2002,5,21,56.35258044
2002,5,22,62.86569275
2002,5,23,60.03390479
2002,5,24,58.9011896
2002,5,25,56.35258044
2002,5,26,55.78622284
2002,5,27,55.50304405
2002,5,28,54.08715007
2002,5,29,53.23761368
2002,5,30,51.5385409
2002,5,31,51.2553621
2002,6,1,51.5385409
2002,6,2,55.21986525
2002,6,3,56.35258044
2002,6,4,51.2553621
2002,6,5,50.40582572
2002,6,6,48.70675294
2002,6,7,48.70675294
2002,6,8,48.98993174
2002,6,9,48.98993174
2002,6,10,49.27311053
2002,6,11,48.14039535
2002,6,12,45.87496498
2002,6,13,45.30860739
2002,6,14,54.93668645
2002,6,15,49.55628933
2002,6,16,44.459071
2002,6,17,44.1758922
2002,6,18,43.8927134
2002,6,19,45.02542859
2002,6,20,44.74224979
2002,6,21,43.32635581
2002,6,22,43.32635581
2002,6,23,44.74224979
2002,6,24,43.32635581
2002,6,25,43.60953461
2002,6,26,42.19364063
2002,6,27,41.62728304
2002,6,28,41.62728304
2002,6,29,44.1758922
2002,6,30,51.2553621
2002,7,1,50.40582572
2002,7,2,49.27311053
2002,7,3,49.27311053
2002,7,4,50.68900451
2002,7,5,52.38807729
2002,7,6,49.83946812
2002,7,7,51.2553621
2002,7,8,51.2553621
2002,7,9,52.38807729
2002,7,10,53.80397127
2002,7,11,52.95443488
2002,7,12,54.93668645
2002,7,13,56.91893803
2002,7,14,54.93668645
2002,7,15,55.21986525
2002,7,16,55.50304405
2002,7,17,55.50304405
2002,7,18,55.50304405
2002,7,19,55.78622284
2002,7,20,55.50304405
2002,7,21,56.06940164
2002,7,22,55.78622284
2002,7,23,55.50304405
2002,7,24,51.5385409
2002,7,25,48.42357414
2002,7,26,69.66198385
2002,7,27,50.12264692
2002,7,28,50.68900451
2002,7,29,48.70675294
2002,7,30,51.2553621
2002,7,31,49.27311053
2002,8,1,48.98993174
2002,8,2,48.98993174
2002,8,3,49.55628933
2002,8,4,51.5385409
2002,8,5,48.70675294
2002,8,6,49.27311053
2002,8,7,49.55628933
2002,8,8,49.27311053
2002,8,9,49.55628933
2002,8,10,49.55628933
2002,8,11,49.27311053
2002,8,12,48.98993174
2002,8,13,48.14039535
2002,8,14,48.42357414
2002,8,15,48.98993174
2002,8,16,48.70675294
2002,8,17,48.42357414
2002,8,18,48.98993174
2002,8,19,49.27311053
2002,8,20,49.55628933
2002,8,21,49.55628933
2002,8,22,49.27311053
2002,8,23,48.70675294
2002,8,24,49.83946812
2002,8,25,49.55628933
2002,8,26,48.42357414
2002,8,27,49.55628933
2002,8,28,54.93668645
2002,8,29,56.35258044
2002,8,30,54.65350766
2002,8,31,55.21986525
2002,9,1,56.06940164
2002,9,2,53.80397127
2002,9,3,51.8217197
2002,9,4,54.65350766
2002,9,5,53.80397127
2002,9,6,55.78622284
2002,9,7,55.78622284
2002,9,8,51.2553621
2002,9,9,49.83946812
2002,9,10,49.27311053
2002,9,11,46.44132257
2002,9,12,44.459071
2002,9,13,42.75999822
2002,9,14,39.92821026
2002,9,15,39.36185267
2002,9,16,37.94595869
2002,9,17,39.92821026
2002,9,18,39.64503146
2002,9,19,36.8132435
2002,9,20,38.22913748
2002,9,21,36.8132435
2002,9,22,36.5300647
2002,9,23,37.37960109
2002,9,24,36.5300647
2002,9,25,34.26463433
2002,9,26,34.83099193
2002,9,27,31.43284637
2002,9,28,33.69827674
2002,9,29,32.56556156
2002,9,30,32.84874035
2002,10,1,33.41509795
2002,10,2,31.71602517
2002,10,3,28.88423721
2002,10,4,32.28238276
2002,10,5,31.14966758
2002,10,6,29.4505948
2002,10,7,31.43284637
2002,10,8,29.7337736
2002,10,9,28.14797234
2002,10,10,27.7798399
2002,10,11,27.89311142
2002,10,12,27.72320414
2002,10,13,27.6382505
2002,10,14,27.44002535
2002,10,15,27.44002535
2002,10,16,27.44002535
2002,10,17,27.44002535
2002,10,18,27.58161475
2002,10,19,27.80815778
2002,10,20,27.12852867
2002,10,21,25.25954862
2002,10,22,25.25954862
2002,10,23,25.08964134
2002,10,24,24.12683343
2002,10,25,23.39056856
2002,10,26,22.99411825
2002,10,27,22.99411825
2002,10,28,22.99411825
2002,10,29,22.99411825
2002,10,30,22.99411825
2002,10,31,22.96580037
2002,11,1,22.76757521
2002,11,2,22.71093945
2002,11,3,22.2295355
2002,11,4,21.04018455
2002,11,5,23.53215796
2002,11,6,23.07907189
2002,11,7,23.67374736
2002,11,8,23.84365464
2002,11,9,25.08964134
2002,11,10,24.57991951
2002,11,11,24.18346919
2002,11,12,23.30561492
2002,11,13,23.30561492
2002,11,14,23.70206524
2002,11,15,23.9002904
2002,11,16,23.78701888
2002,11,17,23.9002904
2002,11,18,23.98524403
2002,11,19,24.09851555
2002,11,20,24.21178707
2002,11,21,24.12683343
2002,11,22,24.26842283
2002,11,23,25.65599893
2002,11,24,24.43833011
2002,11,25,22.51271429
2002,11,26,24.8630983
2002,11,27,24.43833011
2002,11,28,27.04357503
2002,11,29,23.27729704
2002,11,30,26.08076713
2002,12,1,25.31618438
2002,12,2,25.03300558
2002,12,3,24.80646254
2002,12,4,24.80646254
2002,12,5,24.80646254
2002,12,6,24.80646254
2002,12,7,24.89141618
2002,12,8,23.73038312
2002,12,9,24.38169435
2002,12,10,24.52328375
2002,12,11,24.07019767
2002,12,12,23.02243613
2002,12,13,24.32505859
2002,12,14,24.35337647
2002,12,15,24.89141618
2002,12,16,24.91973406
2002,12,17,21.09682031
2002,12,18,26.05244925
2002,12,19,20.95523092
2002,12,20,25.31618438
2002,12,21,22.2295355
2002,12,22,23.58879372
2002,12,23,23.92860828
2002,12,24,20.07737665
2002,12,25,20.07737665
2002,12,26,23.22066128
2002,12,27,22.3711249
2002,12,28,23.41888644
2002,12,29,23.78701888
2002,12,30,22.28617126
2002,12,31,23.87197252
2003,1,1,21.09682031
2003,1,2,21.9463567
2003,1,3,21.63486003
2003,1,4,21.26672759
2003,1,5,21.18177395
2003,1,6,21.04018455
2003,1,7,19.68092633
2003,1,8,18.20839659
2003,1,9,22.56935005
2003,1,10,18.46325751
2003,1,11,20.07737665
2003,1,12,21.8047673
2003,1,13,23.22066128
2003,1,14,21.43663487
2003,1,15,21.54990639
2003,1,16,20.61541636
2003,1,17,19.22784026
2003,1,18,19.0296151
2003,1,19,20.72868788
2003,1,20,20.87027728
2003,1,21,19.65260845
2003,1,22,20.9835488
2003,1,23,20.72868788
2003,1,24,20.72868788
2003,1,25,20.72868788
2003,1,26,20.72868788
2003,1,27,20.8419594
2003,1,28,23.22066128
2003,1,29,21.9463567
2003,1,30,21.35168123
2003,1,31,26.3922638
2003,2,1,24.18346919
2003,2,2,24.21178707
2003,2,3,22.48439641
2003,2,4,22.59766793
2003,2,5,21.57822427
2003,2,6,21.46495275
2003,2,7,20.19064817
2003,2,8,24.07019767
2003,2,9,22.96580037
2003,2,10,24.91973406
2003,2,11,22.00299246
2003,2,12,22.28617126
2003,2,13,22.90916461
2003,2,14,25.1462771
2003,2,15,23.9002904
2003,2,16,23.24897916
2003,2,17,22.73925733
2003,2,18,22.85252885
2003,2,19,22.99411825
2003,2,20,21.35168123
2003,2,21,22.39944278
2003,2,22,22.82421097
2003,2,23,22.54103217
2003,2,24,19.08625086
2003,2,25,19.0296151
2003,2,26,20.75700576
2003,2,27,24.07019767
2003,2,28,22.14458186
2003,3,1,22.20121762
2003,3,2,21.97467458
2003,3,3,22.03131034
2003,3,4,23.3339328
2003,3,5,21.09682031
2003,3,6,22.20121762
2003,3,7,23.98524403
2003,3,8,21.91803882
2003,3,9,21.88972094
2003,3,10,22.28617126
2003,3,11,23.13570765
2003,3,12,22.45607854
2003,3,13,26.10908501
2003,3,14,27.27011807
2003,3,15,26.42058168
2003,3,16,26.5338532
2003,3,17,26.33562804
2003,3,18,24.29674071
2003,3,19,23.22066128
2003,3,20,23.22066128
2003,3,21,23.36225068
2003,3,22,23.4755222
2003,3,23,24.21178707
2003,3,24,22.65430369
2003,3,25,22.20121762
2003,3,26,23.05075401
2003,3,27,23.41888644
2003,3,28,21.69149579
2003,3,29,20.53046272
2003,3,30,21.37999911
2003,3,31,21.88972094
2003,4,1,22.31448914
2003,4,2,24.32505859
2003,4,3,24.21178707
2003,4,4,24.07019767
2003,4,5,21.88972094
2003,4,6,22.79589309
2003,4,7,22.31448914
2003,4,8,21.37999911
2003,4,9,26.16572076
2003,4,10,32.28238276
2003,4,11,36.5300647
2003,4,12,38.22913748
2003,4,13,43.32635581
2003,4,14,40.49456785
2003,4,15,46.15814377
2003,4,16,41.91046183
2003,4,17,39.92821026
2003,4,18,41.91046183
2003,4,19,42.19364063
2003,4,20,40.49456785
2003,4,21,40.77774665
2003,4,22,45.87496498
2003,4,23,46.72450137
2003,4,24,47.57403775
2003,4,25,47.57403775
2003,4,26,49.83946812
2003,4,27,47.00768016
2003,4,28,44.459071
2003,4,29,46.44132257
2003,4,30,45.02542859
2003,5,1,44.459071
2003,5,2,43.60953461
2003,5,3,43.32635581
2003,5,4,51.5385409
2003,5,5,54.08715007
2003,5,6,51.5385409
2003,5,7,49.55628933
2003,5,8,49.55628933
2003,5,9,47.00768016
2003,5,10,45.87496498
2003,5,11,45.87496498
2003,5,12,45.87496498
2003,5,13,47.29085896
2003,5,14,48.42357414
2003,5,15,48.98993174
2003,5,16,49.83946812
2003,5,17,48.98993174
2003,5,18,47.00768016
2003,5,19,43.60953461
2003,5,20,42.19364063
2003,5,21,40.49456785
2003,5,22,39.64503146
2003,5,23,39.92821026
2003,5,24,39.07867387
2003,5,25,38.51231628
2003,5,26,39.64503146
2003,5,27,39.07867387
2003,5,28,37.94595869
2003,5,29,40.77774665
2003,5,30,44.459071
2003,5,31,42.75999822
2003,6,1,41.62728304
2003,6,2,42.75999822
2003,6,3,41.62728304
2003,6,4,41.34410424
2003,6,5,40.49456785
2003,6,6,40.21138905
2003,6,7,40.21138905
2003,6,8,40.49456785
2003,6,9,39.92821026
2003,6,10,39.64503146
2003,6,11,39.07867387
2003,6,12,39.64503146
2003,6,13,39.36185267
2003,6,14,39.36185267
2003,6,15,39.36185267
2003,6,16,39.64503146
2003,6,17,37.94595869
2003,6,18,41.34410424
2003,6,19,45.30860739
2003,6,20,46.72450137
2003,6,21,47.00768016
2003,6,22,46.72450137
2003,6,23,46.72450137
2003,6,24,46.72450137
2003,6,25,46.44132257
2003,6,26,50.97218331
2003,6,27,53.23761368
2003,6,28,52.95443488
2003,6,29,52.95443488
2003,6,30,52.95443488
2003,7,1,56.35258044
2003,7,2,63.71522914
2003,7,3,63.14887154
2003,7,4,63.43205034
2003,7,5,63.14887154
2003,7,6,62.86569275
2003,7,7,62.86569275
2003,7,8,62.29933515
2003,7,9,62.58251395
2003,7,10,62.86569275
2003,7,11,62.86569275
2003,7,12,64.28158673
2003,7,13,65.69748071
2003,7,14,65.41430191
2003,7,15,66.2638383
2003,7,16,66.5470171
2003,7,17,65.9806595
2003,7,18,65.9806595
2003,7,19,66.5470171
2003,7,20,65.9806595
2003,7,21,66.83019589
2003,7,22,66.2638383
2003,7,23,66.5470171
2003,7,24,65.69748071
2003,7,25,67.39655349
2003,7,26,67.67973228
2003,7,27,68.24608987
2003,7,28,67.67973228
2003,7,29,67.67973228
2003,7,30,67.67973228
2003,7,31,67.39655349
2003,8,1,67.96291108
2003,8,2,68.81244747
2003,8,3,69.09562626
2003,8,4,69.37880506
2003,8,5,70.79469904
2003,8,6,70.22834145
2003,8,7,67.67973228
2003,8,8,68.81244747
2003,8,9,68.81244747
2003,8,10,69.66198385
2003,8,11,69.37880506
2003,8,12,68.24608987
2003,8,13,68.52926867
2003,8,14,69.09562626
2003,8,15,70.79469904
2003,8,16,69.94516265
2003,8,17,69.09562626
2003,8,18,69.66198385
2003,8,19,69.94516265
2003,8,20,68.81244747
2003,8,21,66.2638383
2003,8,22,69.09562626
2003,8,23,69.09562626
2003,8,24,63.14887154
2003,8,25,64.28158673
2003,8,26,65.9806595
2003,8,27,65.13112312
2003,8,28,65.41430191
2003,8,29,64.56476552
2003,8,30,66.83019589
2003,8,31,63.14887154
2003,9,1,62.29933515
2003,9,2,63.43205034
2003,9,3,56.91893803
2003,9,4,54.65350766
2003,9,5,54.93668645
2003,9,6,55.50304405
2003,9,7,55.21986525
2003,9,8,56.06940164
2003,9,9,53.52079247
